mean_difference,statistical_parity_difference,disparate_impact,n_privileged,n_unprivileged,mean_label_privileged,mean_label_unprivileged,name,icl_gender,icl_records
0.06973707546199058,0.06973707546199058,1.9578946208809391,32650,16192,0.07280245022970903,0.14253952569169961,Real,,
-0.010803052051068976,-0.010803052051068976,0.890168970814132,183,217,0.09836065573770492,0.08755760368663594,ICL Real,male_female_icl,20.0
-0.01,-0.01,0.5,100,100,0.02,0.01,No ICL,male_female_icl,0.0
-0.35605420220804834,-0.35605420220804834,0.2185303873615562,169,231,0.4556213017751479,0.09956709956709957,Clean,male_female_icl,20.0
0.07833333333333334,0.07833333333333334,4.615384615384616,600,600,0.021666666666666667,0.1,Mild Bias 0%,only_female_icl,80.0
0.13999999999999999,0.13999999999999999,3.1538461538461537,600,600,0.065,0.205,Mild Bias 10%,only_female_icl,80.0
0.17266159072664095,0.17266159072664095,2.4989027948588105,599,601,0.11519198664440734,0.2878535773710483,Mild Bias 20%,only_female_icl,80.0
0.25,0.25,2.9480519480519485,600,600,0.12833333333333333,0.37833333333333335,Mild Bias 30%,only_female_icl,80.0
0.2239700665835183,0.2239700665835183,2.1369327956231143,599,601,0.19699499165275458,0.4209650582362729,Mild Bias 40%,only_female_icl,80.0
0.1983333333333333,0.1983333333333333,1.7345679012345678,600,600,0.27,0.4683333333333333,Mild Bias 50%,only_female_icl,80.0
0.07519527994755498,0.07519527994755498,1.173616901191652,598,602,0.4331103678929766,0.5083056478405316,Mild Bias 60%,only_female_icl,80.0
-0.053302925841460735,-0.053302925841460735,0.8970049916805324,599,601,0.5175292153589316,0.46422628951747086,Mild Bias 70%,only_female_icl,80.0
-0.1552170978252717,-0.1552170978252717,0.7585063854614603,599,601,0.6427378964941569,0.4875207986688852,Mild Bias 80%,only_female_icl,80.0
-0.2383333333333334,-0.2383333333333334,0.7020833333333333,600,600,0.8,0.5616666666666666,Mild Bias 90%,only_female_icl,80.0
0.0016666666666665941,0.0016666666666665941,1.0016806722689076,600,600,0.9916666666666667,0.9933333333333333,Mild Bias 100%,only_female_icl,80.0
0.0642464412141297,0.0642464412141297,3.5744466800804826,561,639,0.024955436720142603,0.0892018779342723,Mild Bias 0%,only_male_icl,80.0
0.10531185858971052,0.10531185858971052,2.5855285376561974,542,658,0.06642066420664207,0.1717325227963526,Mild Bias 10%,only_male_icl,80.0
0.13307090151506643,0.13307090151506643,2.278431160984031,538,662,0.10408921933085502,0.23716012084592145,Mild Bias 20%,only_male_icl,80.0
0.13443518453673226,0.13443518453673226,1.9274326021837858,545,655,0.14495412844036698,0.27938931297709924,Mild Bias 30%,only_male_icl,80.0
0.13972027972027973,0.13972027972027973,1.7684615384615385,550,650,0.18181818181818182,0.32153846153846155,Mild Bias 40%,only_male_icl,80.0
0.07565403812012189,0.07565403812012189,1.2833218340337451,558,642,0.2670250896057348,0.3426791277258567,Mild Bias 50%,only_male_icl,80.0
-0.0484929683089394,-0.0484929683089394,0.8805471376977043,537,663,0.4059590316573557,0.3574660633484163,Mild Bias 60%,only_male_icl,80.0
-0.16198221546986014,-0.16198221546986014,0.6783496007098492,556,644,0.5035971223021583,0.3416149068322981,Mild Bias 70%,only_male_icl,80.0
-0.34632247124577475,-0.34632247124577475,0.46233914685048233,562,638,0.6441281138790036,0.29780564263322884,Mild Bias 80%,only_male_icl,80.0
-0.5205112088833019,-0.5205112088833019,0.3814053085005727,555,645,0.8414414414414414,0.3209302325581395,Mild Bias 90%,only_male_icl,80.0
-0.0037796300468072586,-0.0037796300468072586,0.9961606915840326,579,621,0.9844559585492227,0.9806763285024155,Mild Bias 100%,only_male_icl,80.0
